00:00:00:00:00:00	Officially Xerox
00:00:01:00:00:00	SuperLAN-2U
00:00:02:00:00:00	BBN (was internal usage only, no longer used)
00:00:03:00:00:00	XEROX CORPORATION
00:00:04:00:00:00	XEROX CORPORATION
00:00:05:00:00:00	XEROX CORPORATION
00:00:06:00:00:00	XEROX CORPORATION
00:00:07:00:00:00	XEROX CORPORATION
00:00:08:00:00:00	XEROX CORPORATION
00:00:09:00:00:00	powerpipes?
00:00:0A:00:00:00	OMRON TATEISI ELECTRONICS CO.
00:00:0B:00:00:00	MATRIX CORPORATION
00:00:0C:00:00:00	Cisco
00:00:0D:00:00:00	FIBRONICS LTD.
00:00:0E:00:00:00	Fujitsu
00:00:0F:00:00:00	Next
00:00:10:00:00:00	Hughes
00:00:11:00:00:00	Tektrnix
00:00:12:00:00:00	INFORMATION TECHNOLOGY LIMITED
00:00:13:00:00:00	Camex
00:00:14:00:00:00	Netronix
00:00:15:00:00:00	Datapoint Corporation
00:00:16:00:00:00	DU PONT PIXEL SYSTEMS     .
00:00:17:00:00:00	Oracle
00:00:18:00:00:00	Webster Computer Corporation Appletalk/Ethernet Gateway
00:00:19:00:00:00	APPLIED DYNAMICS INTERNATIONAL
00:00:1A:00:00:00	AMD
00:00:1B:00:00:00	Novell (now Eagle Technology)
00:00:1C:00:00:00	JDR Microdevices
00:00:1D:00:00:00	Cabletron
00:00:1E:00:00:00	TELSIST INDUSTRIA ELECTRONICA
00:00:1F:00:00:00	Cryptall Communications Corp.
00:00:20:00:00:00	DIAB
00:00:21:00:00:00	SC&C
00:00:22:00:00:00	Visual Technology
00:00:23:00:00:00	ABB Automation AB, Dept. Q
00:00:24:00:00:00	Olicom
00:00:25:00:00:00	RAMTEK CORP.
00:00:26:00:00:00	SHA-KEN CO., LTD.
00:00:27:00:00:00	JAPAN RADIO COMPANY
00:00:28:00:00:00	PRODIGY SYSTEMS CORPORATION
00:00:29:00:00:00	Imc
00:00:2A:00:00:00	Trw
00:00:2B:00:00:00	CRISP AUTOMATION, INC
00:00:2C:00:00:00	NRC - Network Resources Corporation - MultiGate Hub1+, Hub2, etc
00:00:2D:00:00:00	CHROMATICS INC
00:00:2E:00:00:00	SOCIETE EVIRA
00:00:2F:00:00:00	TIMEPLEX INC.
00:00:30:00:00:00	VG LABORATORY SYSTEMS LTD
00:00:31:00:00:00	QPSX COMMUNICATIONS, LTD.
00:00:32:00:00:00	GPT Limited (reassigned from GEC Computers Ltd)
00:00:33:00:00:00	EGAN MACHINERY COMPANY
00:00:34:00:00:00	NETWORK RESOURCES CORPORATION
00:00:35:00:00:00	SPECTRAGRAPHICS CORPORATION
00:00:36:00:00:00	ATARI CORPORATION
00:00:37:00:00:00	Oxford Metrics Ltd
00:00:38:00:00:00	CSS LABS
00:00:39:00:00:00	TOSHIBA CORPORATION
00:00:3A:00:00:00	CHYRON CORPORATION
00:00:3B:00:00:00	1 Sun clones
00:00:3C:00:00:00	Auspex
00:00:3D:00:00:00	AT&T
00:00:3E:00:00:00	Simpact
00:00:3F:00:00:00	Syntrex Inc
00:00:40:00:00:00	APPLICON, INC.
00:00:41:00:00:00	ICE CORPORATION
00:00:42:00:00:00	METIER MANAGEMENT SYSTEMS LTD.
00:00:43:00:00:00	MICRO TECHNOLOGY
00:00:44:00:00:00	Castelle
00:00:45:00:00:00	FORD AEROSPACE & COMM. CORP.
00:00:46:00:00:00	ISC-BR
